index,question,answer,split,question_file,question_length,needs_差分比較,needs_Excel/表,needs_Word/PPT書式,needs_PDF/会議録,needs_コード/Notebook,needs_JSON/設定,needs_金額/計算,needs_日付/期間,needs_画像/グラフ,needs_社内用語,needs_複数資料照合,estimated_need_count,estimated_needs
76,"AOMINEの契約条件において、契約単価が現状よりも2,000円高く、実績工数が11.2時間少なかった場合、税込請求金額は、実際の税込請求金額と比べていくら変動しますか。",,test,data/raw/share/share/質問回答/questions_test.csv,85,False,False,False,False,False,False,True,False,False,False,False,1,金額/計算
77,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet2において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,76,False,True,True,False,False,False,False,False,False,False,False,2,"Excel/表, Word/PPT書式"
78,ひがし丘の契約条件において、ACTHが200時間を超えた場合の精算方法に関する規定内容を答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,52,False,False,False,False,False,False,False,False,False,False,False,0,未分類
79,恒一会 かえで総合病院の計画フォルダ内において、データアステル側の担当者のうち、1タスク当たりの想定工数（想定工数 ÷ 担当タスク数）が最も大きい人のフルネームと、その1タスク当たりの想定工数を小数第2位で答えてください。ファイルに鍵がかかっている場合は社内管理を確認してください。,,test,data/raw/share/share/質問回答/questions_test.csv,141,False,False,False,False,False,False,True,False,False,False,False,1,金額/計算
80,東都人材プラットフォームのtrain.xlsxにおいて、Sheet2の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,67,False,True,True,False,False,False,False,False,False,False,False,2,"Excel/表, Word/PPT書式"
81,京橋信用ソリューションズとの契約書において、太字で記載されている部分を抽出してください。,,test,data/raw/share/share/質問回答/questions_test.csv,44,False,False,True,False,False,False,False,False,False,False,False,1,Word/PPT書式
82,蒼泉会 ひがし丘総合病院のスケジュール.xlsxにおいて、WBSシートでオレンジ色にハイライトされている行のタスクIDをすべて教えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,71,False,True,False,False,False,False,False,False,False,False,True,2,"Excel/表, 複数資料照合"
83,蒼樹会 みなみ野女性医療センターのtrain.xlsxにおいて、回帰分析の結果として記載されている係数をindex=1770のデータに当てはめたときの予測値はいくつですか。小数第5位まで答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,101,False,True,False,False,False,False,True,False,False,False,False,2,"Excel/表, 金額/計算"
84,東都人材プラットフォームの最終報告書で分析結果が記載されている中で、モデル毎のF1スコアがランキング形式で記載されているページ数を教えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,73,False,False,False,False,False,False,False,False,False,False,False,0,未分類
85,青葉バイオメディカル機器の最終報告において、設定されたKPIとして未達成とされている項目を挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,53,False,False,False,False,False,True,False,False,False,False,False,1,JSON/設定
86,各案件のPP・契約書・PLAN・FRにおいて、DA側の実施体制として役割付きで記載されている人物は全部で何人ですか。,,test,data/raw/share/share/質問回答/questions_test.csv,58,False,False,False,False,False,False,False,False,False,False,True,1,複数資料照合
87,完了案件のうち、社内管理のAPRでAPR-M1に該当し、かつ顧客データのサンプル数が10000行以上の案件を、案件略称ですべて挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,71,False,True,False,False,False,False,False,False,False,True,True,3,"Excel/表, 社内用語, 複数資料照合"
88,蒼樹会 みなみ野女性医療センターの提案書内のスケジュール案において、第5週目に実施することになっている項目は何ですか。,,test,data/raw/share/share/質問回答/questions_test.csv,59,False,False,False,False,False,False,False,True,False,False,False,1,日付/期間
89,京橋信用ソリューションズのスケジュール.xlsxにおいて、フェーズNo6にて最後に開始するタスク名は何ですか。,,test,data/raw/share/share/質問回答/questions_test.csv,55,False,True,False,False,False,False,False,True,False,False,False,2,"Excel/表, 日付/期間"
90,青潮モビリティサービスのスケジュール.xlsxにおいて、バッファとして使用した工数の合計は何時間ですか。,,test,data/raw/share/share/質問回答/questions_test.csv,52,False,True,False,False,False,False,True,False,False,False,False,2,"Excel/表, 金額/計算"
91,京橋信用ソリューションズの顧客データにおいて、目的変数と最も強い負の相関を持つカラムは何ですか。,,test,data/raw/share/share/質問回答/questions_test.csv,48,False,False,False,False,False,False,False,False,False,False,False,0,未分類
92,恒一会 かえで総合病院案件において、マイルストーンID、タスクID、アクションIDの3種類のIDは合計でいくつ発行されていますか。マークダウンファイル以外から算出してください。,,test,data/raw/share/share/質問回答/questions_test.csv,88,False,True,False,False,False,False,True,False,False,False,False,2,"Excel/表, 金額/計算"
93,蒼樹会 みなみ野女性医療センターのアクションIDA10の内容をそのまま抜き出してください。,,test,data/raw/share/share/質問回答/questions_test.csv,45,False,False,False,False,False,False,False,False,False,False,True,1,複数資料照合
94,蒼樹会 みなみ野女性医療センターのスケジュール.xlsxにおいて、MS3に紐づくタスクのうち、ビジネスアナリストが関わっているタスクIDを答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,77,False,True,False,False,False,False,False,False,False,False,False,1,Excel/表
95,青嶺不動産アセットマネジメントのスケジュール_r1.xlsxとスケジュール_r2.xlsxを比較したとき、未着手から完了への変更を除いて、案件遂行に関連する変更点を挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,90,True,True,False,False,False,False,False,False,False,False,False,2,"差分比較, Excel/表"
96,青葉与信マネジメントのチェックポイント2として設定されている内容に関連するタスクIDを教えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,51,False,False,False,False,False,True,False,False,False,False,False,1,JSON/設定
97,青葉バイオメディカル機器のtrain.xlsxにおいて、黄色ハイライトが交差している2つのセルの値の差の絶対値を計算してください。,,test,data/raw/share/share/質問回答/questions_test.csv,65,False,True,True,False,False,False,False,False,False,False,False,2,"Excel/表, Word/PPT書式"
98,TM案件において、RATEが変更されたのは何年何月1日からと想定されますか。,,test,data/raw/share/share/質問回答/questions_test.csv,38,True,False,False,False,False,False,False,True,False,False,False,2,"差分比較, 日付/期間"
99,蒼樹会 みなみ野女性医療センターの糖尿病統計情報調査結果において、死亡率が最も高い都道府県の死亡率は、4番目に低い都道府県の死亡率の何倍ですか。小数第2位まで求めてください。,,test,data/raw/share/share/質問回答/questions_test.csv,87,False,False,False,False,False,False,True,False,False,False,False,1,金額/計算
