index,question,answer,answer_status,source_stage,source_confidence,source_paths,source_count,source_note,evidence
36,恒一会 かえで総合病院案件において、中間報告時点のF1スコア実測値と最終報告時点のF1スコア実測値の差を絶対値で答えてください。,0.0960328831921873,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告_old.pptx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告.pptx | share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/06.報告書/医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
37,AOBMにおいて、見込金額（税込）と確定金額（税込）の差を、ESTHとACTHの差で割った1時間あたりの減少金額を計算してください。,0円/時間,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/05.会議/報告資料/報告資料_2025-07-11.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/06.報告書/株式会社青葉バイオメディカル機器_最終報告.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx.md,4,EDA046の改善ログ,"""金額(税込)"",
""想定金額(税込)"",
税込金額:3,443,000 円
想定金額(税込):3,740,000円"
38,社内管理のAPRに照らして、APR-M3が必要な案件を主略称ですべて挙げ、それらの契約金額（税込）の合計を答えてください。,該当なし。合計0円,answered,EDA057_cross_project_apr_rule,high,EDA/EDA051/tables/contract_terms_inventory.csv | data/processed/share/share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md | data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.md,3,EDA057個別routeで採用,"{""apr_m3_projects"": []}"
39,青潮モビリティサービスのtrain.xlsxのSheet1にあるグラフ1はどのカラムを可視化したものですか。,Sheet1にはグラフが存在しないため、可視化されたカラムはありません,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/data/カラム説明.md | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/カラム説明.md | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/06.報告書/株式会社青潮モビリティサービス_最終報告.pdf,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
40,2026年7月1日時点で存在する案件について、支払月ごとの精算総額が多い月を上位3つ、総額とあわせて答えてください。,"2025-10: 2,887,500円, 2025-11: 2,887,500円, 2025-12: 0円",answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
41,AOBMのPLANにおいて、加藤さんが担当者に含まれるタスクIDはいくつありますか。,3,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
42,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet1において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,Sheet1!F22=33.022105717、条件: col_4=1、col_5=35.9、集計: col_6,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.xlsx.structure.json,1,EDA046の改善ログ,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.xlsx.structure.json Sheet1!F22=33.022105717、条件: col_4=1、col_5=35.9、集計: col_6
43,東都のCTにおいて、甲側の主担当者をフルネームで教えてください。,石川 直樹,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
44,IMにあるFMにおいて、佐藤さんから見て右側に座っている人の名前をすべて挙げてください。,わかりません,unknown,unknown_diagnostic_sources,none,data/processed/share/share/共有ドライブ/社内管理/座席表.pptx.md | data/processed/share/share/共有ドライブ/社内管理/座席表.pptx.structure.json | data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.md | data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.structure.json | data/processed/share/share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md | data/processed/share/share/共有ドライブ/社内管理/データアステル社内規定_パスワード導出規則.docx.md | data/processed/share/share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md.structure.json | data/processed/share/share/共有ドライブ/社内管理/データアステル社内規定_パスワード導出規則.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv.md,10,最終回答はわかりません。候補ソースは診断用であり、回答根拠として未確定,
45,京橋信用ソリューションズの会議録_2025-10-29.pdfと会議録_2025-11-11.pdfにおいて、会議ID M2 から M3 にかけて完了したアクションアイテムのIDをすべて挙げてください。,A01 A02 A03 A07,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-29.pdf,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
46,着手金が最も高い案件について、その案件のESの内線番号を教えてください。,7201,answered,EDA057_upfront_es_extension_join,medium,EDA/EDA051/tables/contract_terms_inventory.csv | EDA/EDA051/tables/role_assignment_inventory.csv | EDA/EDA049/tables/seat_coordinate_table.csv,3,EDA057個別routeで採用,"{""project"": ""白峰信用リスク評価株式会社"", ""project_abbreviation"": ""SHR"", ""upfront_amount"": 2720000.0, ""es_name"": ""中村 誠"", ""seat_family_name"": ""中村"", ""extension"": 7201, ""seat_source"": ""fallback_visual_seed""}"
47,青嶺不動産アセットマネジメントのtrain.xlsxにおいて、黄色ハイライトセルは予測と実際の誤差を計算していますが、その予測値の対象となっている不動産の建設年を算出してください。,2025年,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/06.報告書/株式会社青嶺不動産アセットマネジメント_最終報告.pptx | share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/scripts/run_train.py | share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.xlsx | share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/__init__.py,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
48,青嶺不動産アセットマネジメントのニューヨーク不動産市場の最新動向調査.pdfにおいて、提案されているマンション税の新税率のうち、現行税率からの絶対値の増加が最も小さい価格帯はどこですか。,100万ドル超 - 500万ドル以下,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/ニューヨーク不動産市場の最新動向調査.pdf,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
49,東都人材プラットフォームの会議録において、コメントがついている部分をそのまま抽出してください。,WBS・進捗管理台帳確定（タスク割振・ガント更新）,answered,EDA056,medium,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-08-18.docx,1,EDA056の採用ログ,WBS・進捗管理台帳確定（タスク割振・ガント更新）
50,東都人材プラットフォームのデータサイエンティスト調査において、Salary.com が公表しているデータサイエンティストの年間基本給について、上位90%の層と中央値の差はいくらですか。,"81,820ドル",answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
51,白峰信用リスク評価の提案書.pptxにおいて、モデルの高度化（説明性・セグメント分析）の実行予定スケジュールは案件開始から第何週目に実施予定でしょうか。,第9週目,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書.pptx,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
52,蒼樹会 みなみ野女性医療センターの今後の運用に関する記載の中で、データアステル側の役割として「別契約」と明記されているものを抽出してください。,契約範囲外の追加対応,answered,EDA056,medium,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md,2,EDA056の採用ログ,契約範囲外の追加対応
53,TOTOのFR書にて記載のある選択特徴量のうち、ENG-FTはいくつありますか。,0,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/features.py.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/features.py.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.csv.structure.json,5,EDA046の改善ログ,"Software Engineer
CYCLE_LENGTH_BY_NAME = {
""CYCLE_LENGTH_BY_NAME.get"",
Engineering (non-computer focused)
""Profession"": ""Software Engineer"","
54,青潮モビリティサービスの基礎分析.docxのグラフ1で、x=3のときのyの値を小数第5位で答えてください。,13.00000,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/基礎分析.docx | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/基礎分析.pptx | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/06.報告書/株式会社青潮モビリティサービス_最終報告.pdf,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
55,事後精算案件のうち、提案時の見積工数と最終報告で報告されている実績工数の乖離が最も大きい案件を主略称で挙げてください。,かえで総合病院,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/00.提案/提案書.pptx | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/報告資料_2025-08-06.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
56,蒼泉会 ひがし丘総合病院の01_eda.ipynbにおける目的変数分析の可視化において、y軸に実際に表示されている目盛りの最大値は何ですか。,1256,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
57,青葉のTXにて算出された回帰係数を用いて全データの予測値を計算し、正解データに対する F1 スコアが最大となるように閾値を設定したときの F1 スコアを答えてください。小数第5位まで求めてください。,0.00000,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/src/evaluate.py.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/src/evaluate.py.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx.structure.json,4,EDA046の改善ログ,"f1_score,
F1 (macro)
""f1_score"",
""F1 (macro)"","
58,社内管理フォルダにあるFMにおいて、井上さんの向かいに座っている方のEXTを教えてください。,わかりません,unknown,unknown_diagnostic_sources,none,data/processed/share/share/共有ドライブ/社内管理/座席表.pptx.md | data/processed/share/share/共有ドライブ/社内管理/座席表.pptx.structure.json | data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.md | data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.structure.json | data/processed/share/share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md | data/processed/share/share/共有ドライブ/社内管理/データアステル社内規定_パスワード導出規則.docx.md | data/processed/share/share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md.structure.json | data/processed/share/share/共有ドライブ/社内管理/データアステル社内規定_パスワード導出規則.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/カラム説明.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/カラム説明.md,10,最終回答はわかりません。候補ソースは診断用であり、回答根拠として未確定,
59,京ソのPP_final.pptxにおいて、この案件にかかる金額の提示がまとまっているのは何ページですか。,2ページ,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
60,白峰信用リスク評価の最終報告資料内で未完事項として挙げられているIDをすべて抽出してください。,AI-05、AI-09、AI-08,answered,EDA035,medium,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md,1,EDA035の改善ログ,"要アクション(未完事項)
AI-05: 着手金支払の事後確認
AI-09: Attr37の最終採否比較
AI-08: 前処理仕様の確定

※ 本書は「確認済事項(Facts)」と「仮定(Assumptions)」を明確に分離して記載している。

"
61,京橋信用ソリューションズの分析コードにおいて、今回の学習で勾配ブースティング法のモデルに実際に渡される n_estimators、learning_rate、random_state はそれぞれいくつですか。設定ファイルに明示されていない値がある場合も、実行時にコード上で適用される値を含めて答えてください。,n_estimators=500、learning_rate=0.3、random_state=42,answered,EDA035,medium,data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/scripts/run_train.py.md | data/processed/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/src/modeling.py.md,3,EDA035の改善ログ,"n_estimators=500
learning_rate=0.3
random_state=42"
62,青葉与信マネジメントの最終報告資料における、モデル比較で上位2件のスコア差を生んでいる設定差分は何ですか。,n_estimatorsが500と300で異なります。,answered,EDA058_model_diff,high,data\processed\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\06.報告書\青葉与信マネジメント株式会社_最終報告.pptx.md | data\processed\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\04.分析\analysis_outputs\experiments\leaderboard.csv.data.csv | data\processed\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\04.分析\analysis_outputs\experiments\leaderboard.csv.md,3,最終報告のモデル比較表とleaderboard.csv上位2行の設定差分,"{""n_estimators"": [""500"", ""300""]}"
63,青葉与信マネジメントのtrain.xlsxにて算出された回帰係数を使ってid=0を予測した場合の予測値はいくらになりますか。小数第5位まで求めてください。,0.21480,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
64,青潮モビリティサービスの最終報告PDFにおいて、将来のフェーズAとフェーズBを実施した場合の想定工数は合計で何時間ですか。,0,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/会議録/会議録_2025-08-26.docx | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/06.報告書/株式会社青潮モビリティサービス_最終報告.pdf | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/報告資料_2025-08-06.docx | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/報告資料_2025-07-23.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
65,白峰信用リスク評価のtrain.xlsxにおいて、表示されている相関係数シートで、黄色ハイライトになっているセルの条件を答えてください。,相関係数シートで、相関係数の絶対値が0.5を超えるセル(例:Attr2 と Attr3 の相関係数 -0.9960099740512748)が黄色ハイライトされます。,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/社内管理/社内用語集.docx | share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx | share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
66,京橋信用ソリューションズのEDAの日付分析の可視化において、件数が最も高いのは何日ですか。,20日,answered,EDA035,medium,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,1,EDA035の改善ログ,"day
20    1612
18    1345
21    1233
17    1192
6     1145
5     1123
8     1099
14    1095
7     1091
28    1091"
67,完了案件のうち、社内管理のAPRでAPR-M2に該当する案件の中で、提案時金額とFR時の金額が異なる案件を案件略称ですべて挙げてください。,該当案件はありません,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md | share/共有ドライブ/社内管理/社内用語集.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/社内管理/データアステル社内規定_パスワード導出規則.docx | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/報告資料_2025-07-23.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
68,東都人材プラットフォームのデータサイエンス市場の未来予測.pdfにおいて、投資実装係数の計算式が記載されているページの数値情報を式に代入し、投資実装係数を小数で答えてください。,0.5,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンス市場の未来予測.pdf | share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
69,白峰信用リスク評価の最終報告資料において、パイロット運用は本番化スケジュール上で第何週目から第何週目に実施予定ですか。,W7〜W8,answered,EDA035,medium,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md,1,EDA035の改善ログ,"W7
W8
パイロット運用
パイロット運用
パイロット運用(並行運用)による運用指標の観測(3ヶ月)
契約上は固定価格での実施であり、現段階での追加作業は別見積が必要(契約書§14)。運用移行にあたっては、本報告書の「直近の必須事項」を完了した上でパイロット運用を行うことを推奨する。"
70,白峰信用リスク評価の5月27日の報告資料で Open として優先フォロー対象に挙げられているアクションIDの中で、会議録において完了となっていないIDを上げてください。,なし,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.structure.json,2,EDA046の改善ログ,"Open
""text"": ""Open"","
71,青嶺不動産アセットマネジメントの会議録の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,"4,250,000円",answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/会議録/会議録_2025-08-06.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/会議録/会議録_2025-08-26.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/会議録/会議録_2025-09-16.docx.structure.json,3,EDA046の改善ログ,"data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/会議録/会議録_2025-08-06.docx.structure.json block=24: 4,250,000円"
72,KSSにおいて、データエンジニアが担当するタスクIDはいくつありますか。,0,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/00.提案/提案書.pptx | share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-01.pdf,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
73,恒一会のPPで言及されている One-Hot Encoding のカテゴリ数閾値を実装設定から確認したうえで、その条件により One-Hot Encoding の対象となるカテゴリ列をすべて答えてください。,対象列はありません,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/00.提案/提案書.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/00.提案/提案書.pptx.structure.json,2,EDA046の改善ログ,"One-Hot Encoding
""text"": ""One-Hot Encoding"","
74,青葉与信マネジメントの提案書_v1.pptxから提案書_v2.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,変更なし,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v1.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v3.pptx.md,2,EDA046の改善ログ,"• ベースラインモデルを構築し基準性能を把握
• ロジスティック回帰等の説明性重視モデルを中心に評価
• 必要に応じて決定木系モデルの重要度も比較利用
• 上位/下位リスク群の不良率差を可視化"
75,MINAMINOのPP内のPL案において、モデル構築は第何週に実施することになっていますか。,第4週,answered,EDA054,medium,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx.sheets/スケジュール管理表.csv,1,EDA054の採用ログ,第4週
76,"AOMINEの契約条件において、契約単価が現状よりも2,000円高く、実績工数が11.2時間少なかった場合、税込請求金額は、実際の税込請求金額と比べていくら変動しますか。","22,400円",answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/06.報告書/株式会社東都人材プラットフォーム_最終報告.pptx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/00.提案/提案書.pptx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告_old.pptx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告.pptx | share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/00.提案/提案書.pptx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
77,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet2において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,Sheet2!E14=6746、条件: col_2=northwest、col_3=6103.852518680003、col_4=3、集計: col_5,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.xlsx.structure.json,1,EDA046の改善ログ,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.xlsx.structure.json Sheet2!E14=6746、条件: col_2=northwest、col_3=6103.852518680003、col_4=3、集計: col_5
78,ひがし丘の契約条件において、ACTHが200時間を超えた場合の精算方法に関する規定内容を答えてください。,超過分は別途請求する,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx | share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/01.契約/契約書.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
